# 컴퓨터
xvtutor	8. 강의실	xvsrd	xvtutor1|xvtutor2|xvtutor3|xvtutor4|xvtutor8|xvtutor5|xvtutor6|xvtutor11|xvtutor9|xvtutor10|7|xvtutorall
xvtutor1	1. 운영체제	xvtutor	/bbs/board.php?bo_table=xvtutor1
xvtutor2	2. 응용프로그램	xvtutor	/bbs/board.php?bo_table=xvtutor2
xvtutor3	3. 통신및인터넷	xvtutor	/bbs/board.php?bo_table=xvtutor3
xvtutor4	4. power edition office	xvtutor	/bbs/board.php?bo_table=xvtutor4
xvtutor8	5. professional office	xvtutor	/bbs/board.php?bo_table=xvtutor8
xvtutor5	6. SenseReader기본강좌	xvtutor	/bbs/board.php?bo_table=xvtutor5
xvtutor6	7. SenseReader활용팁	xvtutor	/bbs/board.php?bo_table=xvtutor6
xvtutor11	8. 센스월드 강의실	xvtutor	/bbs/board.php?bo_table=xvtutor11
xvtutor9	9. 게임 강의실	xvtutor	/bbs/board.php?bo_table=xvtutor9
xvtutor10	10. 모바일 센스 강의실	xvtutor	/bbs/board.php?bo_table=xvtutor10
xvtutor7	11. BrailleNote 강의	xvtutor	/bbs/board.php?bo_table=xvtutor7
xvtutorall	12. 전체자료실	xvtutor	/bbs/board.php?bo_table=xvtutorall
xvpds	9. 자료실	xvsrd	xvpds1|xvpds2|xvpds3|xvpds4|xvpds5|xvpds6|xvpdsall
xvpds1	1. SenseReader자료실	xvpds	/bbs/board.php?bo_table=xvpds1
xvpds2	2. 일반자료실	xvpds	/bbs/board.php?bo_table=xvpds2
xvpds3	3. BrailleNote 관련 자료	xvpds	/bbs/board.php?bo_table=xvpds3
xvpds4	4. 게임 자료실	xvpds	/bbs/board.php?bo_table=xvpds4
xvpds5	5. 게임사용자 자료실	xvpds	/bbs/board.php?bo_table=xvpds5
xvpds6	6. 모바일센스자료실	xvpds	/bbs/board.php?bo_table=xvpds6
xvpdsall	7. 전체자료실	xvpds	/bbs/board.php?bo_table=xvpdsall
xvhope	10. Xvision Technology에게 바란다	xvsrd	/bbs/board.php?bo_table=xvhope
veye	3. (주)보이스아이	prg	veinfo|veintro|vefree|veqna|vecon|veye-vepds
veinfo	1. 공지사항	veye	/bbs/board.php?bo_table=veinfo&cl=veye
veintro	2. 회사소개 및 제품안내	veye	/bbs/board.php?bo_table=veintro&cl=veye
vefree	3. 자유롭게 글쓰기	veye	/bbs/board.php?bo_table=vefree&cl=veye
veqna	4. 질문과 제안	veye	/bbs/board.php?bo_table=veqna&cl=veye
vecon	5. 보이스아이 콘텐츠 소개	veye	/bbs/board.php?bo_table=vecon&cl=veye
